ParkingName,Capacity,Occupancy,Date
BHMEURBRD02,220,219,2016-10-04
BHMEURBRD02,220,215,2016-10-05
BHMEURBRD02,220,215,2016-10-06
BHMEURBRD02,220,182,2016-10-07
BHMEURBRD02,220,33,2016-10-08
BHMEURBRD02,220,29,2016-10-09
BHMEURBRD02,220,213,2016-10-10
BHMEURBRD02,220,213,2016-10-11
BHMEURBRD02,220,207,2016-10-12
BHMEURBRD02,220,176,2016-10-13
BHMEURBRD02,220,188,2016-10-14
BHMEURBRD02,220,52,2016-10-15
BHMEURBRD02,220,77,2016-10-16
BHMEURBRD02,220,210,2016-10-17
BHMEURBRD02,220,220,2016-10-18
BHMEURBRD02,220,215,2016-10-19
BHMEURBRD02,220,50,2016-10-22
BHMEURBRD02,220,198,2016-10-24
BHMEURBRD02,220,219,2016-10-25
BHMEURBRD02,220,216,2016-10-26
BHMEURBRD02,220,220,2016-10-27
BHMEURBRD02,220,173,2016-10-28
BHMEURBRD02,220,48,2016-10-29
BHMEURBRD02,220,38,2016-10-30
BHMEURBRD02,220,208,2016-10-31
BHMEURBRD02,220,215,2016-11-01
BHMEURBRD02,220,220,2016-11-02
BHMEURBRD02,220,215,2016-11-03
BHMEURBRD02,220,195,2016-11-04
BHMEURBRD02,220,73,2016-11-05
BHMEURBRD02,220,58,2016-11-06
BHMEURBRD02,220,202,2016-11-07
BHMEURBRD02,220,218,2016-11-08
BHMEURBRD02,220,199,2016-11-09
BHMEURBRD02,220,220,2016-11-10
BHMEURBRD02,220,188,2016-11-11
BHMEURBRD02,220,47,2016-11-12
BHMEURBRD02,220,22,2016-11-13
BHMEURBRD02,220,216,2016-11-14
BHMEURBRD02,220,217,2016-11-15
BHMEURBRD02,220,220,2016-11-16
BHMEURBRD02,220,207,2016-11-17
BHMEURBRD02,220,185,2016-11-18
BHMEURBRD02,220,55,2016-11-19
BHMEURBRD02,220,44,2016-11-20
BHMEURBRD02,220,216,2016-11-21
BHMEURBRD02,220,219,2016-11-22
BHMEURBRD02,220,218,2016-11-23
BHMEURBRD02,220,211,2016-11-24
BHMEURBRD02,220,187,2016-11-25
BHMEURBRD02,220,64,2016-11-26
BHMEURBRD02,220,217,2016-11-28
BHMEURBRD02,220,219,2016-11-29
BHMEURBRD02,220,211,2016-11-30
BHMEURBRD02,220,220,2016-12-01
BHMEURBRD02,220,206,2016-12-02
BHMEURBRD02,220,204,2016-12-05
BHMEURBRD02,220,215,2016-12-06
BHMEURBRD02,220,220,2016-12-07
BHMEURBRD02,220,204,2016-12-08
BHMEURBRD02,220,162,2016-12-09
BHMEURBRD02,220,39,2016-12-10
BHMEURBRD02,220,41,2016-12-11
BHMEURBRD02,220,217,2016-12-12
BHMEURBRD02,220,220,2016-12-13
BHMEURBRD02,220,217,2016-12-14
BHMEURBRD02,220,191,2016-12-15
BHMEURBRD02,220,158,2016-12-16
BHMEURBRD02,220,63,2016-12-17
BHMEURBRD02,220,48,2016-12-18
BHMEURBRD02,220,193,2016-12-19
