SystemCodeNumber,Capacity,Occupancy,LastUpdated
BHMBCCMKT01,577,57,2016-10-22 07:59:45
BHMBCCMKT01,577,59,2016-10-22 08:26:46
BHMBCCMKT01,577,72,2016-10-22 08:59:44
BHMBCCMKT01,577,93,2016-10-22 09:26:47
BHMBCCMKT01,577,130,2016-10-22 09:59:44
BHMBCCMKT01,577,156,2016-10-22 10:26:47
BHMBCCMKT01,577,198,2016-10-22 10:59:47
BHMBCCMKT01,577,239,2016-10-22 11:32:43
BHMBCCMKT01,577,261,2016-10-22 11:59:46
BHMBCCMKT01,577,324,2016-10-22 12:32:47
BHMBCCMKT01,577,359,2016-10-22 12:59:47
BHMBCCMKT01,577,380,2016-10-22 13:32:43
BHMBCCMKT01,577,408,2016-10-22 13:59:48
BHMBCCMKT01,577,430,2016-10-22 14:39:47
BHMBCCMKT01,577,424,2016-10-22 14:59:48
BHMBCCMKT01,577,403,2016-10-22 15:26:49
BHMBCCMKT01,577,384,2016-10-22 15:59:47
BHMBCCMKT01,577,340,2016-10-22 16:26:47
BHMBCCMKT01,577,47,2016-10-23 07:59:48
BHMBCCMKT01,577,48,2016-10-23 08:26:51
BHMBCCMKT01,577,51,2016-10-23 08:59:50
BHMBCCMKT01,577,50,2016-10-23 09:26:51
BHMBCCMKT01,577,54,2016-10-23 09:59:52
BHMBCCMKT01,577,60,2016-10-23 10:26:53
BHMBCCMKT01,577,80,2016-10-23 10:59:53
BHMBCCMKT01,577,107,2016-10-23 11:26:49
BHMBCCMKT01,577,125,2016-10-23 11:59:50
BHMBCCMKT01,577,144,2016-10-23 12:26:51
BHMBCCMKT01,577,175,2016-10-23 13:06:52
BHMBCCMKT01,577,192,2016-10-23 13:26:55
BHMBCCMKT01,577,215,2016-10-23 13:59:53
BHMBCCMKT01,577,226,2016-10-23 14:26:51
BHMBCCMKT01,577,219,2016-10-23 14:59:53
BHMBCCMKT01,577,215,2016-10-23 15:26:56
BHMBCCMKT01,577,179,2016-10-23 15:59:54
BHMBCCMKT01,577,150,2016-10-23 16:26:57
BHMBCCMKT01,577,47,2016-10-24 07:56:56
BHMBCCMKT01,577,55,2016-10-24 08:29:56
BHMBCCMKT01,577,62,2016-10-24 09:03:01
